EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
202854463,EAST MOUNTAIN HISTORICAL SOCIETY,% ANABEL SANCHEZ,PO BOX 106,TIJERAS,NM,87059-0106,0000,03,3,1000,200608,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A80,
203135445,CARRIZOZO HERITAGE MUSEUM,% RENE BURTON,PO BOX 16,CARRIZOZO,NM,88301-0016,0000,03,3,1200,200705,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A50,
203488740,NEW MEXICO WOMEN IN FILM,% CHRISTINE MCHUGH,PO BOX 33351,SANTA FE,NM,87594-3351,0000,03,3,2100,200609,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A31,
203845643,EL RANCHO DE LAS GOLONDRINAS INC,% DAWN ST GEORGE,334 LOS PINOS RD,SANTA FE,NM,87507-4363,0000,03,3,1000,200603,1,15,000000000,1,01,202412,8,6,01,0,12,23009499.0,1989311.0,1959450.0,A50,
203859926,DANCE FUN RAISERS,% JERILYN TIMLIN,1528 EUBANK BLVD NE,ALBUQUERQUE,NM,87112-4113,0000,03,3,1200,200702,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A11,
203922979,MAINSTREET LAS VEGAS INC,% JOHN M PERANTEAU,PO BOX 877,LAS VEGAS,NM,87701-0877,0000,03,3,1000,200703,1,15,000000000,1,01,202412,2,3,01,0,12,22312.0,85591.0,85591.0,A80,
205684231,MONTAGE MUSIC SOCIETY INC,% DEBRA AYERS,6 ALTAZANO DR,SANTA FE,NM,87505-8111,0000,03,3,1000,200702,1,16,000000000,1,01,202507,0,0,02,0,07,0.0,0.0,0.0,A68,
205757302,NIHI DINE BA DBA DINE BA,% JOHN D PRUIT,PO BOX 2798,SHIPROCK,NM,87420-2798,0000,03,3,2000,200710,1,16,000000000,1,01,202312,0,0,02,0,12,0.0,0.0,0.0,A23,
205973077,AMADOR HOTEL FOUNDATION INC,% HEATHER POLLARD,PO BOX 1268,LAS CRUCES,NM,88004-1268,0000,03,3,1000,200709,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A50,
208144491,CLAYTON MAIN STREET,% LEROY WOOD,PO BOX 105,CLAYTON,NM,88415-0105,0000,03,3,1000,201408,1,15,000000000,1,01,202512,4,4,01,0,12,103164.0,173069.0,139882.0,A82,
208540744,516 ARTS,% SUZANNE SBARGE PRESIDENT,516 CENTRAL AVE SW,ALBUQUERQUE,NM,87102-3114,0000,03,3,1200,200707,1,15,000000000,1,01,202412,6,4,01,0,12,1350672.0,396556.0,383975.0,A51,
208803707,ALBUQUERQUE THEATRE GUILD,% CLAUDIA MATHES,PO BOX 26395,ALBUQUERQUE,NM,87125-6395,0000,03,3,1000,200804,1,16,000000000,1,01,202506,0,0,02,0,06,0.0,0.0,0.0,A26,
222663603,SOUND DIRECTIONS INC,,4473 DANCING GROUND RD,SANTA FE,NM,87507-0820,0000,03,3,1000,198602,1,16,090995119,1,01,202505,0,0,02,0,05,0.0,0.0,0.0,A68M,
223864302,SINATRA-DEVINE PRODUCTIONS INC,% PAUL JAMES SEDILLO,4119 DIETZ LOOP NW,LOS RANCHOS,NM,87107-3212,0000,03,3,1000,200302,1,16,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A65,
237068978,CARLSBAD AREA ART ASSOCIATION INC,,PO BOX 66,CARLSBAD,NM,88221-0066,0000,03,3,2000,197006,1,16,065207059,1,01,202512,4,3,01,0,12,116014.0,98315.0,98315.0,A260,
237093144,SAN JUAN COUNTY MUSEUM ASSOCIATION,,PO BOX 125,BLOOMFIELD,NM,87413-0125,0000,03,3,1200,197102,1,15,062060000,1,01,202410,6,6,01,0,10,2120521.0,1362040.0,1327528.0,A560,
237247909,NEW MEXICO BALLET COMPANY,,PO BOX 21518,ALBUQUERQUE,NM,87154-1518,0000,03,3,1000,201709,1,15,088000000,1,01,202506,6,6,01,0,06,1530022.0,1016775.0,1006454.0,A63,
237250293,HIGH PLAINS HISTORICAL FOUNDATION INC CLOVIS NEW MEXICO,,PO BOX 1323,CLOVIS,NM,88102-1323,0000,03,3,1200,201506,1,16,059062000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A80,
237262250,AZTEC MUSEUM ASSOCIATION,,125 N MAIN AVE,AZTEC,NM,87410-1923,0000,03,3,1200,197512,1,15,060000000,1,01,202412,5,4,01,0,12,847060.0,102269.0,97449.0,A540,
237314812,OPERA SOUTHWEST,,PO BOX 27671,ALBUQUERQUE,NM,87125-7671,0000,03,3,1000,197311,1,15,088089090,1,01,202505,6,6,01,0,05,1730701.0,1726739.0,1679305.0,A6A0,
237368983,CLUB CULUTURALE ITALIANO INC,% JOE SANTANGELO,12409 CORONADO AVE NE,ALBUQUERQUE,NM,87122-1061,0000,04,3,3000,201807,2,00,039000000,5,01,202412,0,0,02,0,12,0.0,0.0,0.0,A23,
237377944,MORMON BATTALION ASSOCIATION,% COMMANDER,8610 PRESIDENT PL NE,ALBUQUERQUE,NM,87113-2571,0000,03,3,2000,202006,1,16,062000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A82,
237434944,NEW MEXICO WATERCOLOR SOCIETY,% ARIAN PREGENZER,PO BOX 11604,ALBUQUERQUE,NM,87192-0604,0000,03,3,1000,200506,1,16,205000000,1,01,202506,5,3,01,0,06,526256.0,52194.0,52194.0,A51,
237447655,ADVENTURES IN ANTHROPOLOGY,% JERRY VAUGHN,PO BOX 21598,ALBUQUERQUE,NM,87154-0000,0000,03,3,1000,197502,1,15,600000000,1,01,202306,0,0,02,0,06,0.0,0.0,0.0,A115,
260262811,CONCORDIA SANTA FE,% JANET YAKER MURRAY,PO BOX 10102,SANTA FE,NM,87504-6102,0000,03,3,1200,201710,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A6C,
260352422,TAOS YOUTH MUSIC SCHOOL,% ANGELA PACHECO,208 CAMINO DEL SANTIAGO,TAOS,NM,87571-4306,0000,03,3,1000,200801,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A68,TYMS
261146265,BATTALION TREK,% DENNY HENSON,8610 PRESIDENT PL NE,ALBUQUERQUE,NM,87113-2571,0000,03,3,2000,200802,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A80,
261406583,POLYPHONY VOICES OF NEW MEXICO,% MAXINE THEVENOT,7327 OLD PECOS TRL NE,ALBUQUERQUE,NM,87113-1323,0000,03,3,1200,200803,1,15,000000000,1,01,202412,2,4,01,0,12,21845.0,134793.0,134793.0,A68,
261490923,LANDMARK MUSICALS,% MYRA COCHNAR,PO BOX 6708,ALBUQUERQUE,NM,87197-6708,0000,03,3,2000,200808,1,16,000000000,1,01,202412,1,4,01,0,12,1348.0,102636.0,102636.0,A60,
261642784,BEAD SOCIETY OF NEW MEXICO,% GERI VERBLE,PO BOX 91655,ALBUQUERQUE,NM,87199-1655,0000,03,3,2000,201610,1,16,000000000,5,01,202512,0,0,02,0,12,0.0,0.0,0.0,A20,
261656689,INDIGENOUSWAYS,% NA,PO BOX 4073,SANTA FE,NM,87502-4073,0000,03,3,1000,200803,1,15,000000000,1,01,202412,3,4,01,0,12,56380.0,260757.0,260757.0,A60,
261713762,GUITAR NEW MEXICO,% PAUL NIELSEN,3019 CONCHAS ST NE,ALBUQUERQUE,NM,87111-4744,0000,03,3,1000,200809,1,16,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A61,
262025474,THREE RIVERS ART CENTER,% CATHERINE THOMAS-KEMP,123 W MAIN ST,FARMINGTON,NM,87401-6242,0000,03,3,2000,201004,1,16,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A20,
262180552,HIGH DESERT AMATEUR RADIO CLUB OF NEW MEXICO INC,% ROBERT E WITTER,1003 ROBIN RD SE,RIO RANCHO,NM,87124-2035,0000,03,3,1280,201505,1,16,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A34,
262261976,INTERNATIONAL ART COLLECTIVE INC,% JASON DOWNING,2 REBECCA RD S,MORIARTY,NM,87035-5439,0000,03,3,2000,200904,1,15,000000000,1,01,202509,0,0,02,0,09,0.0,0.0,0.0,A20,
262893584,FRIENDS OF BEAR CANYON,,4645 PITT ST NE,ALBUQUERQUE,NM,87111-6012,0000,03,3,1000,201705,1,15,000000000,5,01,202512,0,0,02,0,12,0.0,0.0,0.0,A12,
262964357,PATRICIA ARSCOTT LA FARGE FOUNDATION FOR FOLK ART,% KENNETH BATEMAN,PO BOX 31182,SANTA FE,NM,87594-1182,0000,03,3,1000,200810,1,03,000000000,1,01,202412,4,3,00,1,12,271468.0,55987.0,,A20,
263043783,COMMEMORATIVE AIR FORCE,% SCOTT WITSCHGER,9821 OAKLAND AVE NE,ALBUQUERQUE,NM,87122-3932,5545,03,9,1000,200904,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A50,NEW MEXICO AMERICAN AIRPOWER HERITA
263095228,ACOMA HAAK U FOUNDATION INC,% CONNIE GARCIA,PO BOX 309,ACOMA,NM,87034-0309,0000,03,3,1200,201001,1,15,000000000,1,01,,0,0,14,0,12,,,,A11,
263433153,TARNOFF ART CENTER,% SHERWIN TARNOFF,7 AVENIDA VISTA GRANDE STE B7 185,SANTA FE,NM,87508-9207,0000,03,3,2100,200907,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A40,
263467012,EL KOOKOOEE EDUCATIONAL ASSOCIATION,% JOANNE EEKHOFF,7521 SANTIAGO RD SW,ALBUQUERQUE,NM,87105-7240,0000,03,3,2000,202312,1,15,000000000,5,01,202512,0,0,02,0,12,0.0,0.0,0.0,A03,
263751094,OJO CALIENTE RESTORATION SOCIETY,% PAUL A MARTINEZ,2711 WINSTON AVE,LAS CRUCES,NM,88005-1322,0000,03,3,1200,201202,1,15,000000000,1,01,202506,0,0,02,0,06,0.0,0.0,0.0,A23,CHIHENE NDE WARM SPRINGS BAND
264037273,WESTERN CAST IRON ART ALLIANCE INC,% DAVID M LOBDELL,16338THST,LASVEGAS,NM,87701-0000,0000,03,3,1000,201010,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A03,
264538232,TAOS OPERA INSTITUTE,% MARK CRAIG,309 MORGAN RD,TAOS,NM,87571-4417,0000,03,3,2000,201003,1,16,000000000,1,01,202412,3,4,01,0,12,30646.0,189068.0,189068.0,A25,
264724719,HEREKEKE,% PEGGY CHUNG,HC 81 BOX 10,QUESTA,NM,87556-9500,0000,03,3,1200,201605,1,16,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A20,
270118569,LITTLE GLOBE INC,,PO BOX 24213,SANTA FE,NM,87502-9213,0000,03,3,1000,200610,1,15,000000000,1,01,202412,4,4,01,0,12,122876.0,303792.0,303792.0,A60,
270298458,WALKER AVIATION MUSEUM FOUNDATION,% ALLIE BISHOP,PO BOX 118,ROSWELL,NM,88202-0118,0000,03,3,1200,200911,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A12,
270319821,RIO GRANDE SYMPHONIC BAND,% JOHN EMORY,PO BOX 15407,RIO RANCHO,NM,87174-0407,0000,03,3,1000,201009,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A60,
270331371,SOUTHWESTERN ARTS ALLIANCE INC,% MICHAEL FRANCIS,PO BOX 225,HONDO,NM,88336-0225,0000,03,3,2000,200911,1,15,000000000,1,01,202506,0,0,02,0,06,0.0,0.0,0.0,A40,
270410452,TEATRO PARAGUAS INC,% JOHN MACCALLUM,3205 CALLE MARIE,SANTA FE,NM,87507-7312,0000,03,3,1200,201002,1,15,000000000,1,01,202506,4,4,01,0,06,120501.0,183592.0,183592.0,A65,TEATRO PARAGUAS
270824676,STRING ACADEMY OF THE PLAINS INC,% PRISCILLA HALLBERG,3000 CALLE DE ALAMO NW,ALBUQUERQUE,NM,87104-3151,0000,03,3,2000,201107,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A20,STRING ACADEMY OF THE SOUTHWEST
270856684,EMPOWER NEW MEXICO INC,% CAROL BAUMGARTEL,119 SUNLIT DR W,SANTA FE,NM,87508-9383,0000,03,3,2000,201011,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A20,
270918016,NOB HILL MAINSTREET,% CHRIS SMITH,300 MENAUL BLVD NW STE A PMB 522,ALBUQUERQUE,NM,87107-1347,0000,03,3,1200,201004,1,15,000000000,1,01,202412,2,4,01,0,12,22470.0,105450.0,102450.0,A80,
270987342,NATIONAL ART EDUCATION ASSOCIATION,% STEVEN HEIL,8820 JAMES AVE NE,ALBUQUERQUE,NM,87111-3231,5750,03,9,2000,201008,1,16,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A03,NEW MEXICO ART EDUCATION ASSOCIATIO
271043152,MESILLA VALLEY PRESERVATION INC,% ERIC LIEFELD,PO BOX 1780,MESILLA,NM,88046-1780,0000,03,3,1200,201405,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A80,
271122662,SANTA FE HIGH SCHOOL CHOIR BOOSTER CLUB,% MARILY BARNES,2100 YUCCA ST,SANTA FE,NM,87505-5456,0000,03,3,1200,202507,1,15,000000000,5,01,202107,0,0,02,0,12,0.0,0.0,0.0,A69,
271148446,NEW MEXICO PHILHARMONIC INC,% CARLA LEHMEIER,3035 MENAUL BLVD NE STE 2,ALBUQUERQUE,NM,87107-1581,0000,03,3,1200,201007,1,15,000000000,1,01,202408,5,6,01,0,08,837492.0,3224468.0,3145401.0,A69,
271162666,ENCAUSTIC ART INC,% DOUGLAS MEHRENS,18 COUNTY ROAD 55A,CERRILLOS,NM,87010-9779,0000,03,3,1000,201106,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A40,
271168518,CENTER FOR PHOTOGRAPHIC EXPRESSION,% WILLIAM MENKE,25 DAYFLOWER DR,SANTA FE,NM,87506-9538,0000,03,3,2000,201002,1,16,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A40,CENTER FOR PHOTOGRAPHIC ARTS
271175704,WORKING CLASS THEATRE,% RONALD J USHERWOOD,PO BOX 1431,TAOS,NM,87571-1431,0000,03,3,1000,201012,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A65,
271186542,UR ARTS & CULTURE INC,,425 GLORIETA ST NE,ALBUQUERQUE,NM,87123-1120,0000,03,3,2100,201008,1,15,000000000,1,01,202512,1,2,02,0,12,425.0,22370.0,22370.0,A23,
271186623,AVOKADO ARTISTS INC,% TOM FROUGE,25 JUNIPER RD,PLACITAS,NM,87043-9125,0000,03,3,2100,201005,1,15,000000000,1,01,202412,4,4,02,0,12,121418.0,236815.0,0.0,A6C,
271202542,MUSIC GUILD OF NEW MEXICO INC,% JENICA L JACOBI,PO BOX 3458,ALBUQUERQUE,NM,87190-3458,0000,03,3,2000,201004,1,15,000000000,1,01,202505,4,4,01,0,05,180819.0,113045.0,113045.0,A69,
271388986,VADO HISTORICIAL SOCIETY,% JOHN HOLGUIN,615 HOLGUIN RD,VADO,NM,88072-7211,0000,03,3,2000,202409,1,04,000000000,5,01,,0,0,00,1,12,,,,A82,
271715603,CONTEMPORARY HISPANIC MARKET INC,% RAMONA VIGIL-EASTWOOD,10808 CONSTITUTION AVE NE,ALBUQUERQUE,NM,87112-5430,0000,03,3,1000,201007,1,16,000000000,1,01,202512,2,3,01,0,12,24441.0,68882.0,68882.0,A40,
271952245,HOBBS JUNETEENTH COMMITTEE,% JACQULINE C MARSHALL,1219 E MAIN ST,HOBBS,NM,88240-7054,0000,03,3,1230,201606,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A80,
271993089,FESTIVAL BALLET ALBUQUERQUE,% PATRICIA DICKINSON,535 BLACK BEAR RD NE,ALBUQUERQUE,NM,87122-1815,0000,03,3,1200,201004,1,16,000000000,1,01,202512,3,4,01,0,12,38593.0,270080.0,261013.0,A63,
272238321,SAN ANTONIO DEL RIO COLORADO HISTORICAL PRESERVATION,,PO BOX 534,QUESTA,NM,87556-0534,0000,03,3,1000,201007,1,15,000000000,1,01,202312,0,0,02,0,12,0.0,0.0,0.0,A80,
272581872,FRIENDS OF THE NEW MEXICO FARM AND RANCH HERITAGE MUSEUM,% BOB BARNES,4100 DRIPPING SPRINGS RD,LAS CRUCES,NM,88011-5067,0000,03,3,1000,201008,1,16,000000000,1,01,202406,4,3,01,0,06,173648.0,60722.0,60722.0,A50,
272594746,MAINSTREET TRUTH OR CONSEQUENCES,% LINDA DEMARINO,PO BOX 1602,T OR C,NM,87901-4602,0000,03,3,8000,201301,1,15,000000000,1,01,202306,3,3,01,0,06,37072.0,56802.0,56802.0,A80,
272877560,CASA FLAMENCA INC,% CARMEN DUPERRON,401 RIO GRANDE BLVD NW,ALBUQUERQUE,NM,87104-1568,0000,03,3,1200,202301,1,15,000000000,1,01,202412,1,4,01,0,12,3664.0,171061.0,171061.0,A25,
273001486,FRIENDS OF THE TAYLOR FAMILY MONUMENT,,PO BOX 1305,MESILLA,NM,88046-1305,0000,03,3,1200,201102,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A54,
273340364,SKY VELVET VASSAR MUSIC FOUNDATION,,3939 RIO GRANDE BLVD NW2,ALBUQUERQUE,NM,87107-3147,0000,03,3,1000,201408,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A60,
273432429,SACRED SITES RESEARCH INC,% PAULA LOENDORF,6220 MOJAVE ST NW,ALBUQUERQUE,NM,87120-4821,0000,03,3,1200,201102,1,15,000000000,1,01,202412,4,4,01,0,12,264065.0,259543.0,259543.0,A23,
273451167,SANTA FE ARTISTS MARKET INC,% SANTA FE ARTISTS MARKET,PO BOX 28880,SANTA FE,NM,87592-8880,0000,04,3,1000,201211,2,00,000000000,1,01,202512,3,4,01,0,12,27321.0,137950.0,137950.0,A20,
273584624,PERFORMING ARTS FOUNDATION OF LUNA COUNTY,% BETTE WATERS,PO BOX 1316,COLUMBUS,NM,88029-1316,0000,03,3,1000,201110,1,16,000000000,1,01,202408,0,0,02,0,08,0.0,0.0,0.0,A65,
273934499,ENCUENTRO MILONGUERO,% DVORA KANEGIS,10709 SANTA MONICA DR NE,ALBUQUERQUE,NM,87122-3528,0000,03,3,2000,201609,1,16,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A62,
273991384,MAC-TIRE OF SKYE PIPES AND DRUMS,% SUZANNE KEMP,6104 TAYLOR RANCH RD NW,ALBUQUERQUE,NM,87120-2639,0000,03,3,1000,201103,1,16,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A68,
